Kingdom,Phylum,Class,Order,Family,Genus,Sample_name,OBER.Mn.JE1,OBER.Mn.JE2,OBER.Mn.JE3,OBER.Mn.JE4,OBER.Mn.JO1,OBER.Mn.JO2,OBER.Mn.SE1,OBER.Mn.SE2,OBER.Mn.SE5,OBER.Mn.SE6,OBER.Mn.SO1
d__Bacteria,Chloroflexi,Dehalococcoidia,S085,S085,S085,Jan_IB,0,0,0,0,0.07,0.05,0,0,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Genus of Enterobacteriaceae,Jan_B1,0.05,0.06,0,0,0,0,0,0,0,0,0
d__Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Genus of Isosphaeraceae,Sept_B1,0,0,0,0,0,0,0.01,0.1,0,0,0
d__Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,Sept_B1,0,0,0,0,0,0,0.08,0.04,0,0,0
d__Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Opitutus,Sept_B1,0,0,0,0,0,0,0.12,0,0,0,0
d__Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Genus of Nocardioidaceae,Jan_B1,0.05,0.06,0,0,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,KF-JG30-B3,KF-JG30-B3,Sept_B2,0,0,0,0,0,0,0,0,0.06,0.06,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,Jan_B2,0,0,0.04,0.08,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sept_IB,0,0,0,0,0,0,0,0,0,0,0.11
d__Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,Sept_IB,0,0,0,0,0,0,0,0,0,0,0.11
d__Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,Genus of Micropepsaceae,Jan_B2,0,0,0.06,0.05,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,Puniceispirillales,Puniceispirillales,Jan_IB,0,0,0,0,0.05,0.06,0,0,0,0,0
d__Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,IMCC26256,IMCC26256,Jan_B1,0.06,0.05,0,0,0,0,0,0,0,0,0
d__Bacteria,Myxococcota,bacteriap25,bacteriap25,bacteriap25,bacteriap25,Sept_B1,0,0,0,0,0,0,0.07,0.04,0,0,0
d__Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,Sporichthya,Sept_B1,0,0,0,0,0,0,0.08,0.03,0,0,0
d__Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,Sept_IB,0,0,0,0,0,0,0,0,0,0,0.11
d__Bacteria,Phylum of d__Bacteria,Class of d__Bacteria,Order of d__Bacteria,Family of d__Bacteria,Genus of d__Bacteria,Sept_IB,0,0,0,0,0,0,0,0,0,0,0.11
d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Sept_IB,0,0,0,0,0,0,0,0,0,0,0.11
d__Bacteria,Chloroflexi,Anaerolineae,RBG-13-54-9,RBG-13-54-9,RBG-13-54-9,Jan_B2,0,0,0.07,0.05,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Genus of Beijerinckiaceae,Jan_B2,0,0,0.08,0.03,0,0,0,0,0,0,0
d__Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Genus of Isosphaeraceae,Jan_IB,0,0,0,0,0.05,0.06,0,0,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Candidatus_Accumulibacter,Jan_B1,0.06,0.05,0,0,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,Family of Defluviicoccales,Genus of Defluviicoccales,Sept_B2,0,0,0,0,0,0,0,0,0.05,0.06,0
d__Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Aridibacter,Sept_B1,0,0,0,0,0,0,0.04,0.07,0,0,0
d__Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Genus of Vicinamibacteraceae,Sept_B1,0,0,0,0,0,0,0.04,0.07,0,0,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,KF-JG30-B3,KF-JG30-B3,Sept_B1,0,0,0,0,0,0,0.04,0.07,0,0,0
d__Bacteria,Acidobacteriota,Subgroup_22,Subgroup_22,Subgroup_22,Subgroup_22,Jan_B1,0.05,0.05,0,0,0,0,0,0,0,0,0
d__Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,MBNT15,Sept_B2,0,0,0,0,0,0,0,0,0.05,0.06,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Labraceae,Labrys,Sept_B2,0,0,0,0,0,0,0,0,0.05,0.05,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Simplicispira,Sept_B2,0,0,0,0,0,0,0,0,0.06,0.05,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Shinella,Jan_B2,0,0,0.01,0.09,0,0,0,0,0,0,0
d__Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Jan_B2,0,0,0.02,0.09,0,0,0,0,0,0,0
d__Bacteria,Dependentiae,Babeliae,Babeliales,Family of Babeliales,Genus of Babeliales,Sept_B1,0,0,0,0,0,0,0.04,0.07,0,0,0
d__Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20,Sept_B1,0,0,0,0,0,0,0.05,0.06,0,0,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,Family of Defluviicoccales,Genus of Defluviicoccales,Sept_B1,0,0,0,0,0,0,0.06,0.05,0,0,0
d__Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Genus of Chitinophagaceae,Sept_B1,0,0,0,0,0,0,0.06,0.04,0,0,0
d__Bacteria,Hydrogenedentes,Hydrogenedentia,Hydrogenedentiales,Hydrogenedensaceae,Hydrogenedensaceae,Sept_B1,0,0,0,0,0,0,0.07,0.04,0,0,0
d__Bacteria,Patescibacteria,Parcubacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Sept_B1,0,0,0,0,0,0,0.1,0,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Sept_B1,0,0,0,0,0,0,0.11,0,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Jan_B2,0,0,0.07,0.04,0,0,0,0,0,0,0
d__Bacteria,Acidobacteriota,Subgroup_22,Subgroup_22,Subgroup_22,Subgroup_22,Jan_IB,0,0,0,0,0.04,0.07,0,0,0,0,0
d__Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,Jan_IB,0,0,0,0,0.05,0.06,0,0,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,JG36-TzT-191,JG36-TzT-191,JG36-TzT-191,Jan_B1,0.05,0.05,0,0,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,mle1-7,Jan_B1,0.05,0.06,0,0,0,0,0,0,0,0,0
d__Bacteria,Armatimonadota,Class of Armatimonadota,Order of Armatimonadota,Family of Armatimonadota,Genus of Armatimonadota,Sept_B1,0,0,0,0,0,0,0.08,0.03,0,0,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Genus of Reyranellaceae,Sept_IB,0,0,0,0,0,0,0,0,0,0,0.11
d__Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Genus of Enterobacteriaceae,Sept_IB,0,0,0,0,0,0,0,0,0,0,0.11
d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,Jan_B2,0,0,0.05,0.05,0,0,0,0,0,0,0
d__Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavitalea,Jan_B2,0,0,0.06,0.05,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosospira,Jan_IB,0,0,0,0,0.05,0.06,0,0,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,Genus of Sutterellaceae,Jan_B1,0.06,0.05,0,0,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Ferribacterium,Sept_B2,0,0,0,0,0,0,0,0,0.05,0.06,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,Genus of Paracaedibacteraceae,Jan_B2,0,0,0.01,0.1,0,0,0,0,0,0,0
d__Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,0319-6G20,0319-6G20,Sept_B2,0,0,0,0,0,0,0,0,0.06,0.05,0
